request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Requested 52100 INR; up to 52100 INR is safe to pay on 2026-01-05 while keeping the 113100 INR minimum balance. The full amount is safe today, so full payment on 2026-01-05 is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_43,8342128.42,not_affordable,not_recommended,none,2024-11-16,none,"Requested 43339000 IDR; up to 8342128.42 IDR is safe to pay on 2024-09-07 while keeping the 21398000 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_44,38633.735,not_affordable,not_recommended,none,2025-04-16,none,"Requested 95800 INR; up to 38633.735 INR is safe to pay on 2025-02-04 while keeping the 82900 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_45,4014849.93,affordable_later,wait,2026-08-14:21983000,2026-08-14,none,"Requested 21983000 IDR; up to 4014849.93 IDR is safe to pay on 2026-07-06 while keeping the 11149800 IDR minimum balance. Full payment is not safe today; it is projected to become safe on 2026-08-14, so waiting is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_46,35126.665,affordable_with_plan,partial_payment,2024-12-03:35126.665|2024-12-15:14323.335,2024-12-15,none,"Requested 49450 INR; up to 35126.665 INR is safe to pay on 2024-12-03 while keeping the 84000 INR minimum balance. Full payment today is not safe, so a partial-payment plan is recommended: 35126.665 INR on 2024-12-03, then 14323.335 INR on 2024-12-15."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Requested 38114000 IDR; up to 38114000 IDR is safe to pay on 2025-05-05 while keeping the 30049000 IDR minimum balance. The full amount is safe today, so full payment on 2025-05-05 is recommended."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Requested 45700 INR; up to 45700 INR is safe to pay on 2026-07-25 while keeping the 71300 INR minimum balance. The full amount is safe today, so full payment on 2026-07-25 is recommended."
request_49,11252780.935,not_affordable,not_recommended,none,2024-05-18,none,"Requested 34333000 IDR; up to 11252780.935 IDR is safe to pay on 2024-03-04 while keeping the 20275700 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_50,43537.90,affordable_with_plan,full_payment,2025-08-06:43900,2025-09-04,reduce_to:event_4680:1928,"Requested 43900 INR; up to 43537.90 INR is safe to pay on 2025-08-06 while keeping the 99700 INR minimum balance. Full payment on 2025-08-06 becomes safe once this spending change is applied: reduce_to:event_4680:1928. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Requested 2191000 IDR; up to 2191000 IDR is safe to pay on 2026-01-03 while keeping the 7811000 IDR minimum balance. The full amount is safe today, so full payment on 2026-01-03 is recommended."
request_52,23855.29,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Requested 28870 INR; up to 23855.29 INR is safe to pay on 2024-06-05 while keeping the 41500 INR minimum balance. Full payment is not safe today; it is projected to become safe on 2024-06-14, so waiting is recommended."
request_53,465.18,not_affordable,not_recommended,none,2026-01-16,none,"Requested 1699.2 USD; up to 465.18 USD is safe to pay on 2025-11-07 while keeping the 2100 USD minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_54,3643.51,not_affordable,not_recommended,none,,none,"Requested 121528 ZAR; up to 3643.51 ZAR is safe to pay on 2026-07-04 while keeping the 37000 ZAR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_55,128967.11,not_affordable,not_recommended,none,2026-07-14,none,"Requested 218600 INR; up to 128967.11 INR is safe to pay on 2026-06-08 while keeping the 124300 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_56,734.51,affordable_with_plan,partial_payment,2025-02-03:734.51|2025-02-15:147.05,2025-02-15,none,"Requested 881.56 USD; up to 734.51 USD is safe to pay on 2025-02-03 while keeping the 2100 USD minimum balance. Full payment today is not safe, so a partial-payment plan is recommended: 734.51 USD on 2025-02-03, then 147.05 USD on 2025-02-15."
request_57,15164.33,affordable_later,wait,2026-05-14:61446,2026-05-14,none,"Requested 61446 ZAR; up to 15164.33 ZAR is safe to pay on 2026-04-05 while keeping the 42700 ZAR minimum balance. Full payment is not safe today; it is projected to become safe on 2026-05-14, so waiting is recommended."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Requested 16226000 IDR; up to 16226000 IDR is safe to pay on 2024-12-07 while keeping the 14433900 IDR minimum balance. The full amount is safe today, so full payment on 2024-12-07 is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Requested 140600 INR; up to 140600 INR is safe to pay on 2025-05-04 while keeping the 132600 INR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_163 is recommended: 3 payment(s) of 48741.33 INR starting 2025-05-07."
request_60,184.46,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"Requested 199.89 USD; up to 184.46 USD is safe to pay on 2026-01-06 while keeping the 400 USD minimum balance. Full payment is not safe today; it is projected to become safe on 2026-01-15, so waiting is recommended."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Requested 29062 ZAR; up to 29062 ZAR is safe to pay on 2024-03-03 while keeping the 36700 ZAR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_169 is recommended: 3 payment(s) of 10074.83 ZAR starting 2024-03-17."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Requested 404.23 USD; up to 404.23 USD is safe to pay on 2025-08-05 while keeping the 1300 USD minimum balance. The full amount is safe today, so full payment on 2025-08-05 is recommended."
request_63,52157.50,not_affordable,not_recommended,none,,none,"Requested 343900 INR; up to 52157.50 INR is safe to pay on 2026-07-07 while keeping the 153500 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_64,0,not_affordable,not_recommended,none,,none,"Requested 63700 INR; up to 0 INR is safe to pay on 2024-06-04 while keeping the 36100 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 2 evidence update(s) from statements, messages, or images that changed the outcome."
request_65,6706.62,not_affordable,not_recommended,none,,none,"Requested 54340 ZAR; up to 6706.62 ZAR is safe to pay on 2025-11-06 while keeping the 15500 ZAR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Requested 22200 INR; up to 22200 INR is safe to pay on 2026-04-03 while keeping the 80700 INR minimum balance. The full amount is safe today, so full payment on 2026-04-03 is recommended."
request_67,302.26,affordable_later,wait,2024-10-16:2094,2024-10-16,none,"Requested 2094 USD; up to 302.26 USD is safe to pay on 2024-09-05 while keeping the 1200 USD minimum balance. Full payment is not safe today; it is projected to become safe on 2024-10-16, so waiting is recommended."
request_68,1447.645,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,"Requested 2091.6 USD; up to 1447.645 USD is safe to pay on 2025-02-07 while keeping the 1500 USD minimum balance. Full payment today is not safe, so the supplied installment option payment_option_187 is recommended: 3 payment(s) of 725.09 USD starting 2025-02-14."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,"Requested 529.1 EUR; up to 529.1 EUR is safe to pay on 2026-01-04 while keeping the 700 EUR minimum balance. The full amount is safe today, so full payment on 2026-01-04 is recommended."
request_70,50373.61,not_affordable,not_recommended,none,2025-02-16,none,"Requested 243900 INR; up to 50373.61 INR is safe to pay on 2024-12-06 while keeping the 115000 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_71,0,not_affordable,not_recommended,none,,none,"Requested 21451000 IDR; up to 0 IDR is safe to pay on 2025-05-03 while keeping the 8884800 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Requested 11330 ZAR; up to 11330 ZAR is safe to pay on 2026-07-05 while keeping the 12200 ZAR minimum balance. The full amount is safe today, so full payment on 2026-07-05 is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Requested 71400 INR; up to 71400 INR is safe to pay on 2023-01-20 while keeping the 103200 INR minimum balance. The full amount is safe today, so full payment on 2023-01-20 is recommended."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Requested 5010 ZAR; up to 5010 ZAR is safe to pay on 2025-08-04 while keeping the 21900 ZAR minimum balance. The full amount is safe today, so full payment on 2025-08-04 is recommended."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Requested 28270 ZAR; up to 28270 ZAR is safe to pay on 2026-04-06 while keeping the 39000 ZAR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_208 is recommended: 3 payment(s) of 9800.27 ZAR starting 2026-04-09."
request_76,231.280,not_affordable,not_recommended,none,2024-08-29,none,"Requested 4455.6 USD; up to 231.280 USD is safe to pay on 2024-06-03 while keeping the 1800 USD minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_77,60105.005,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,Requested 60700 INR; up to 60105.005 INR is safe to pay on 2025-11-05 while keeping the 82200 INR minimum balance. Full payment on 2025-11-05 becomes safe once this spending change is applied: stop:event_7143.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Requested 50200 INR; up to 50200 INR is safe to pay on 2025-10-02 while keeping the 55200 INR minimum balance. The full amount is safe today, so full payment on 2025-10-02 is recommended."
request_79,429.835,not_affordable,not_recommended,none,2024-11-16,none,"Requested 2151.6 EUR; up to 429.835 EUR is safe to pay on 2024-09-04 while keeping the 1000 EUR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_80,95084.57,not_affordable,not_recommended,none,,none,"Requested 217500 INR; up to 95084.57 INR is safe to pay on 2025-02-06 while keeping the 121300 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Requested 2076 USD; up to 2076 USD is safe to pay on 2026-07-03 while keeping the 1600 USD minimum balance. The full amount is safe today, so full payment on 2026-07-03 is recommended."
request_82,391.55,not_affordable,not_recommended,none,2025-02-16,none,"Requested 1405.2 USD; up to 391.55 USD is safe to pay on 2024-12-05 while keeping the 1100 USD minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_83,14742.36,not_affordable,not_recommended,none,,none,"Requested 156200 INR; up to 14742.36 INR is safe to pay on 2025-05-07 while keeping the 37800 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_84,34735.23,affordable_later,wait,2026-05-14:95400,2026-05-14,none,"Requested 95400 INR; up to 34735.23 INR is safe to pay on 2026-04-04 while keeping the 91300 INR minimum balance. Full payment is not safe today; it is projected to become safe on 2026-05-14, so waiting is recommended."
request_85,367767.97,not_affordable,not_recommended,none,,none,"Requested 19304000 IDR; up to 367767.97 IDR is safe to pay on 2024-03-06 while keeping the 6396300 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Requested 46300 INR; up to 46300 INR is safe to pay on 2025-08-03 while keeping the 84900 INR minimum balance. The full amount is safe today, so full payment on 2025-08-03 is recommended."
request_87,38732.66,not_affordable,not_recommended,none,,none,"Requested 487900 INR; up to 38732.66 INR is safe to pay on 2026-01-05 while keeping the 185900 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_88,10734.00,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-14,none,"Requested 26092 ZAR; up to 10734.00 ZAR is safe to pay on 2024-06-07 while keeping the 25800 ZAR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_245 is recommended: 3 payment(s) of 9045.23 ZAR starting 2024-06-14."
request_89,9324615.660,not_affordable,not_recommended,none,2026-01-16,none,"Requested 13756000 IDR; up to 9324615.660 IDR is safe to pay on 2025-11-04 while keeping the 12534700 IDR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Requested 2560 ZAR; up to 2560 ZAR is safe to pay on 2026-07-06 while keeping the 7600 ZAR minimum balance. The full amount is safe today, so full payment on 2026-07-06 is recommended."
request_91,457.61,not_affordable,not_recommended,none,2024-11-16,none,"Requested 1927.2 EUR; up to 457.61 EUR is safe to pay on 2024-09-03 while keeping the 2100 EUR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Requested 34034 ZAR; up to 34034 ZAR is safe to pay on 2025-02-05 while keeping the 28100 ZAR minimum balance. The full amount is safe today, so full payment on 2025-02-05 is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Requested 1729.2 USD; up to 1729.2 USD is safe to pay on 2026-04-07 while keeping the 1900 USD minimum balance. The full amount is safe today, so full payment on 2026-04-07 is recommended."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Requested 572 EUR; up to 572 EUR is safe to pay on 2024-12-04 while keeping the 600 EUR minimum balance. The full amount is safe today, so full payment on 2024-12-04 is recommended."
request_95,51861.97,not_affordable,not_recommended,none,,none,"Requested 553000 INR; up to 51861.97 INR is safe to pay on 2025-05-06 while keeping the 145500 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_96,72506.46,not_affordable,not_recommended,none,2026-02-15,none,"Requested 90200 INR; up to 72506.46 INR is safe to pay on 2026-01-03 while keeping the 56500 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_97,1454.36,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-17,none,"Requested 23496 ZAR; up to 1454.36 ZAR is safe to pay on 2024-03-05 while keeping the 29700 ZAR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_272 is recommended: 3 payment(s) of 8145.28 ZAR starting 2024-03-19."
request_98,0,not_affordable,not_recommended,none,,none,"Requested 27148 ZAR; up to 0 ZAR is safe to pay on 2025-08-07 while keeping the 30000 ZAR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Requested 18062 ZAR; up to 18062 ZAR is safe to pay on 2026-07-04 while keeping the 49100 ZAR minimum balance. The full amount is safe today, so full payment on 2026-07-04 is recommended."
request_100,26864.895,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-14,none,"Requested 37114 ZAR; up to 26864.895 ZAR is safe to pay on 2024-06-06 while keeping the 32500 ZAR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_281 is recommended: 3 payment(s) of 12866.19 ZAR starting 2024-06-13."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Requested 143500 INR; up to 143500 INR is safe to pay on 2025-11-03 while keeping the 187400 INR minimum balance. The full amount is safe today, so full payment on 2025-11-03 is recommended."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Requested 1716 EUR; up to 1716 EUR is safe to pay on 2026-04-05 while keeping the 900 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_287 is recommended: 3 payment(s) of 594.88 EUR starting 2026-04-05."
request_103,1861.95,not_affordable,not_recommended,none,,none,"Requested 368300 INR; up to 1861.95 INR is safe to pay on 2024-09-07 while keeping the 125500 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Requested 17204 ZAR; up to 17204 ZAR is safe to pay on 2025-02-04 while keeping the 24700 ZAR minimum balance. The full amount is safe today, so full payment on 2025-02-04 is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Requested 53500 INR; up to 53500 INR is safe to pay on 2026-06-08 while keeping the 73900 INR minimum balance. The full amount is safe today, so full payment on 2026-06-08 is recommended."
request_106,459.88,not_affordable,not_recommended,none,2025-02-16,none,"Requested 2207.7 EUR; up to 459.88 EUR is safe to pay on 2024-12-03 while keeping the 1200 EUR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_107,2414.43,not_affordable,not_recommended,none,2025-07-14,none,"Requested 2534.4 EUR; up to 2414.43 EUR is safe to pay on 2025-05-05 while keeping the 1600 EUR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_108,1257.35,not_affordable,not_recommended,none,2026-09-26,none,"Requested 55308 ZAR; up to 1257.35 ZAR is safe to pay on 2026-07-07 while keeping the 24100 ZAR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_109,755.66,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-17,none,"Requested 1863.4 EUR; up to 755.66 EUR is safe to pay on 2024-03-04 while keeping the 1700 EUR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_307 is recommended: 3 payment(s) of 645.98 EUR starting 2024-03-18."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Requested 22352 ZAR; up to 22352 ZAR is safe to pay on 2025-08-06 while keeping the 11200 ZAR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_310 is recommended: 3 payment(s) of 7748.69 ZAR starting 2025-08-06."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Requested 16625000 IDR; up to 16625000 IDR is safe to pay on 2026-04-03 while keeping the 23022800 IDR minimum balance. The full amount is safe today, so full payment on 2026-04-03 is recommended."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,"Requested 271.7 EUR; up to 271.7 EUR is safe to pay on 2024-06-05 while keeping the 500 EUR minimum balance. The full amount is safe today, so full payment on 2024-06-05 is recommended. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_113,28119.97,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Requested 36500 INR; up to 28119.97 INR is safe to pay on 2026-09-04 while keeping the 82300 INR minimum balance. Full payment is not safe today; it is projected to become safe on 2026-09-15, so waiting is recommended."
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Requested 65300 INR; up to 65300 INR is safe to pay on 2026-01-04 while keeping the 113400 INR minimum balance. The full amount is safe today, so full payment on 2026-01-04 is recommended."
request_115,14848.08,not_affordable,not_recommended,none,2024-11-16,none,"Requested 80500 INR; up to 14848.08 INR is safe to pay on 2024-09-06 while keeping the 38800 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_116,9538.595,not_affordable,not_recommended,none,,none,"Requested 241200 INR; up to 9538.595 INR is safe to pay on 2025-02-03 while keeping the 80300 INR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Requested 880 EUR; up to 880 EUR is safe to pay on 2026-07-05 while keeping the 1000 EUR minimum balance. The full amount is safe today, so full payment on 2026-07-05 is recommended."
request_118,627.54,not_affordable,not_recommended,none,2025-02-16,none,"Requested 738.1 EUR; up to 627.54 EUR is safe to pay on 2024-12-07 while keeping the 600 EUR minimum balance. No payment method the user accepts can safely complete this request within the 90-day forecast, even with the maximum permitted spending changes, so no payment is recommended."
request_119,66821.51,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-14,none,"Requested 203500 INR; up to 66821.51 INR is safe to pay on 2025-05-04 while keeping the 151200 INR minimum balance. Full payment today is not safe, so the supplied installment option payment_option_337 is recommended: 3 payment(s) of 70546.67 INR starting 2025-05-18. This recommendation reflects 1 evidence update(s) from statements, messages, or images that changed the outcome."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Requested 7714000 IDR; up to 7714000 IDR is safe to pay on 2026-04-06 while keeping the 20050300 IDR minimum balance. The full amount is safe today, so full payment on 2026-04-06 is recommended."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,"Requested 633.6 USD; up to 633.6 USD is safe to pay on 2024-03-03 while keeping the 800 USD minimum balance. The full amount is safe today, so full payment on 2024-03-03 is recommended."
